aX,aY,aZ,gX,gY,gZ
0.377,-0.232,0.972,10.193,-12.573,-14.343
0.384,-0.225,0.965,8.240,-17.029,-14.709
0.373,-0.218,0.960,7.263,-19.104,-12.573
0.374,-0.223,0.947,7.202,-16.479,-8.667
0.361,-0.223,0.931,6.714,-14.099,-5.737
0.359,-0.204,0.933,5.920,-13.245,-4.456
0.303,-0.162,0.920,3.967,-15.564,-4.456
0.268,-0.130,0.902,2.441,-17.090,-3.845
0.212,-0.110,0.883,0.977,-15.442,-2.930
0.188,-0.113,0.874,0.549,-11.658,-3.357
0.177,-0.111,0.870,0.671,-7.996,-6.287
0.191,-0.129,0.868,0.732,-8.423,-11.658
0.213,-0.160,0.870,0.305,-12.329,-18.188
0.238,-0.183,0.900,1.038,-17.212,-23.743
0.267,-0.199,0.909,2.991,-21.667,-25.635
0.307,-0.234,0.932,3.540,-22.766,-22.705
0.340,-0.277,0.960,2.747,-22.278,-18.433
0.352,-0.320,0.984,2.258,-21.667,-14.526
0.350,-0.340,1.011,1.526,-20.081,-11.353
0.334,-0.335,1.023,0.671,-17.334,-9.888
0.312,-0.323,1.023,0.183,-13.245,-9.277
0.292,-0.312,1.008,0.000,-8.057,-7.446
0.280,-0.298,0.990,-0.244,-4.456,-5.615
0.253,-0.270,0.971,-1.404,-4.211,-4.761
0.225,-0.245,0.949,-2.808,-6.287,-5.249
0.198,-0.239,0.932,-4.761,-8.911,-7.629
0.198,-0.241,0.942,-6.287,-13.184,-10.864
0.216,-0.263,0.948,-5.920,-18.188,-12.268
0.237,-0.283,0.963,-5.371,-22.095,-11.658
0.247,-0.290,0.974,-5.493,-23.254,-10.803
0.253,-0.290,0.977,-4.395,-20.630,-9.827
0.249,-0.272,0.966,-2.502,-15.259,-9.583
0.246,-0.249,0.949,-0.610,-8.911,-8.972
0.236,-0.234,0.933,0.305,-4.150,-7.385
0.226,-0.215,0.904,0.122,-2.075,-6.042
0.223,-0.202,0.888,-0.427,-2.014,-4.639
0.218,-0.191,0.885,-1.587,-3.174,-3.174
0.213,-0.195,0.879,-2.747,-4.761,-2.380
0.214,-0.209,0.886,-3.235,-6.775,-2.319
0.212,-0.205,0.885,-2.686,-9.766,-3.662
0.210,-0.204,0.889,-1.465,-12.573,-5.615
0.219,-0.209,0.893,-0.244,-13.916,-6.287
0.225,-0.221,0.896,0.610,-15.137,-7.263
0.241,-0.237,0.911,1.404,-16.113,-8.057
0.248,-0.253,0.919,1.343,-17.517,-7.629
0.228,-0.248,0.924,-0.854,-18.921,-7.507
0.218,-0.247,0.933,-2.747,-18.860,-6.897
0.214,-0.248,0.927,-3.845,-18.311,-6.226
0.208,-0.244,0.920,-4.517,-18.433,-6.897
0.199,-0.235,0.923,-4.211,-18.372,-8.301
0.187,-0.225,0.923,-2.563,-16.968,-8.667
0.180,-0.205,0.929,-0.488,-15.015,-8.240
0.181,-0.199,0.928,1.465,-13.367,-7.324
0.186,-0.178,0.939,2.258,-11.597,-6.897
0.629,-0.916,1.413,-14.038,23.682,20.020
0.721,-1.103,1.531,-23.376,6.409,25.269
0.822,-1.198,1.626,-29.968,-6.226,32.471
0.878,-1.189,1.732,-39.917,-11.475,40.833
0.898,-1.233,1.735,-55.847,-8.972,46.204
0.903,-1.238,1.711,-74.402,-0.122,51.453
0.894,-1.167,1.651,-86.975,15.625,62.073
0.809,-1.023,1.560,-92.957,39.185,77.698
0.651,-0.875,1.432,-95.276,67.383,94.299
0.491,-0.725,1.274,-97.473,90.515,106.873
0.373,-0.609,1.149,-100.952,100.159,113.770
0.325,-0.517,1.051,-105.957,94.116,114.380
0.263,-0.454,0.986,-112.793,76.477,112.549
0.302,-0.463,0.961,-124.939,49.683,109.436
0.338,-0.422,1.009,-140.442,18.860,107.849
0.315,-0.375,1.096,-153.931,-2.075,110.596
0.286,-0.348,1.141,-160.400,-0.854,117.432
0.238,-0.333,1.122,-159.119,19.531,122.864
0.208,-0.307,1.074,-152.771,47.302,124.817
0.176,-0.304,1.010,-144.165,72.876,126.526
0.197,-0.308,0.928,-137.512,89.539,129.395
0.213,-0.248,0.879,-137.695,92.529,131.592
0.201,-0.172,0.855,-141.968,89.172,134.583
0.188,-0.123,0.819,-146.606,85.510,138.611
0.268,-0.131,0.751,-152.710,82.458,142.456
0.075,-0.052,0.750,-161.682,78.979,142.456
0.113,-0.039,0.694,-166.992,78.430,147.339
0.109,-0.080,0.617,-168.823,83.923,150.085
0.165,-0.132,0.557,-167.236,89.478,151.733
0.168,-0.147,0.521,-160.156,95.581,153.259
0.176,-0.166,0.477,-148.499,107.483,157.104
0.193,-0.161,0.411,-135.193,122.314,163.574
0.221,-0.166,0.313,-125.305,134.766,170.532
0.186,-0.157,0.221,-120.056,144.775,178.162
0.123,-0.120,0.113,-113.586,156.494,190.247
0.030,-0.075,-0.008,-103.699,170.410,205.811
-0.017,-0.017,-0.173,-92.468,179.443,222.290
-0.067,0.048,-0.318,-85.083,175.232,237.610
-0.129,0.127,-0.442,-80.872,157.898,250.854
-0.199,0.240,-0.525,-74.280,132.019,259.949
-0.277,0.363,-0.563,-61.646,103.027,266.541
-0.368,0.480,-0.564,-44.983,75.317,272.766
-0.493,0.575,-0.507,-23.926,55.359,278.015
-0.634,0.680,-0.440,2.136,44.006,281.555
-0.789,0.781,-0.378,32.288,35.400,282.104
-0.915,0.885,-0.297,63.965,27.283,280.334
-1.025,1.048,-0.140,95.276,21.362,278.137
-0.889,1.242,-0.001,123.657,20.386,268.677
-1.311,1.551,0.317,142.395,21.973,237.549
-1.124,1.662,0.450,155.945,29.907,199.463
-1.103,1.662,0.573,149.780,40.405,143.433
-0.880,1.509,0.576,129.761,40.283,90.637
-0.739,1.312,0.688,96.375,25.696,49.744
-0.626,1.081,0.819,67.078,8.423,26.367
-0.531,0.910,0.953,54.565,2.991,14.221
-0.417,0.818,1.046,55.298,9.521,4.089
-0.313,0.759,1.093,58.777,20.813,-6.592
-0.227,0.728,1.096,55.969,31.067,-17.090
-0.175,0.710,1.049,44.495,39.429,-23.621
-0.165,0.728,0.978,27.588,44.373,-26.367
-0.187,0.780,0.878,11.597,47.363,-27.527
-0.242,0.821,0.787,-0.244,50.476,-28.625
-0.311,0.854,0.687,-5.798,54.932,-31.799
-0.383,0.875,0.616,-6.287,57.434,-36.438
-0.456,0.934,0.576,-3.662,58.167,-40.649
-0.530,0.989,0.586,0.122,57.983,-45.654
-0.587,1.040,0.618,3.113,57.495,-52.856
-0.613,1.063,0.647,1.282,57.983,-62.988
-0.619,1.064,0.680,-3.540,60.547,-76.477
-0.602,1.019,0.691,-5.737,65.186,-90.271
