aX,aY,aZ,gX,gY,gZ
0.398,-1.289,0.359,-7.690,-84.900,0.610
0.409,-1.257,0.474,-17.700,-102.844,13.550
0.359,-1.090,0.635,-27.100,-109.070,35.583
0.269,-0.934,0.623,-33.813,-92.346,56.519
0.200,-0.832,0.576,-38.635,-65.552,73.181
0.135,-0.675,0.516,-37.354,-44.861,84.290
0.076,-0.510,0.495,-30.334,-33.691,89.050
0.039,-0.360,0.510,-26.489,-31.433,89.417
-0.006,-0.232,0.551,-27.039,-35.706,87.158
-0.097,-0.118,0.576,-29.907,-42.053,79.041
-0.150,-0.004,0.615,-27.527,-46.143,66.650
-0.184,0.040,0.671,-20.630,-50.171,51.453
-0.189,-0.006,0.743,-16.174,-55.725,36.560
-0.149,-0.078,0.828,-16.602,-61.401,24.231
-0.108,-0.143,0.934,-18.799,-64.575,16.724
-0.023,-0.170,1.026,-21.545,-58.960,16.968
-0.052,-0.192,1.031,-24.902,-52.307,26.245
-0.093,-0.198,1.029,-26.306,-38.452,40.344
-0.036,-0.132,1.043,-24.353,-23.376,50.110
-0.144,-0.082,1.052,-21.545,-17.883,59.631
-0.125,-0.033,1.042,-25.391,-7.385,67.139
-0.171,-0.022,1.000,-29.236,-5.127,65.857
-0.182,-0.032,0.981,-31.311,-7.935,52.795
-0.129,-0.055,0.955,-31.250,-12.817,33.813
-0.050,-0.108,0.947,-31.189,-19.409,17.029
0.002,-0.160,0.954,-30.945,-26.794,4.822
0.051,-0.218,0.977,-29.175,-31.128,-1.099
0.071,-0.273,0.991,-26.978,-30.273,0.732
0.077,-0.314,0.989,-25.269,-25.024,7.324
0.068,-0.324,0.987,-23.926,-17.212,15.259
0.041,-0.324,0.974,-22.766,-8.545,23.132
0.019,-0.328,0.957,-20.020,-0.427,27.283
0.014,-0.322,0.948,-16.907,3.479,25.024
0.017,-0.323,0.931,-16.663,2.014,18.860
0.033,-0.330,0.908,-17.822,-4.028,11.292
0.047,-0.336,0.901,-18.005,-9.521,3.784
0.074,-0.354,0.887,-16.052,-12.268,-0.793
0.101,-0.376,0.891,-12.695,-14.343,-0.916
0.122,-0.391,0.908,-9.155,-15.015,3.113
0.122,-0.394,0.926,-6.531,-13.794,10.376
0.096,-0.385,0.920,-5.249,-11.780,17.639
0.074,-0.369,0.906,-4.456,-9.216,22.095
0.070,-0.355,0.906,-4.761,-8.484,22.400
0.066,-0.342,0.910,-4.089,-9.827,20.142
0.065,-0.331,0.925,-1.770,-10.254,17.029
0.055,-0.327,0.946,2.075,-11.108,14.526
0.049,-0.316,0.961,6.348,-11.963,12.024
0.057,-0.291,0.987,10.498,-12.634,9.460
0.081,-0.264,1.008,12.634,-13.123,8.545
0.107,-0.227,1.032,12.146,-14.404,9.705
0.131,-0.186,1.059,10.132,-17.273,12.878
0.140,-0.143,1.101,8.728,-20.142,17.395
0.133,-0.087,1.193,9.888,-21.973,21.545
0.120,-0.005,1.353,12.085,-24.231,26.550
0.081,0.135,1.618,16.785,-28.076,35.339
0.040,0.372,1.950,25.635,-26.367,49.866
0.041,0.719,2.258,36.865,-11.780,71.411
0.023,1.166,2.548,50.598,13.611,101.685
-0.337,2.195,3.134,91.309,75.134,174.133
-0.655,2.707,3.394,95.276,97.717,198.975
-1.131,3.222,3.474,62.683,108.765,201.416
-1.619,3.682,3.327,-4.517,94.360,164.307
-2.063,3.919,3.037,-79.895,61.157,75.500
-2.584,3.891,2.629,-120.789,27.039,-56.396
-2.816,3.175,2.064,-110.168,20.264,-208.740
-2.604,1.642,1.210,-76.538,32.532,-346.924
-1.906,-0.350,0.303,-60.181,19.897,-431.396
-0.890,-2.117,-0.540,-67.383,-37.231,-421.753
-0.477,-3.402,-1.132,-58.167,-98.572,-300.842
-0.768,-4.000,-1.608,-5.920,-99.487,-122.375
-1.523,-3.622,-1.522,43.945,-75.745,5.127
-1.944,-3.138,-1.539,95.337,2.808,-28.503
-0.978,-3.935,-2.207,128.906,94.482,-244.141
1.255,-4.000,-2.719,107.971,53.223,-516.785
3.158,-4.000,-2.405,109.253,-74.768,-654.419
4.000,-4.000,-1.536,180.115,-147.278,-563.538
4.000,-4.000,-0.885,192.749,-122.314,-303.833
3.594,-4.000,-0.582,109.009,-73.547,5.981
1.245,-4.000,-0.679,3.479,-36.438,260.437
-0.708,-3.225,-0.995,-73.425,-9.827,390.808
-1.728,-2.191,-1.259,-104.309,-8.728,397.949
-1.991,-1.712,-1.253,-77.148,-43.335,322.876
-1.888,-1.648,-0.979,-33.813,-102.600,220.032
-1.796,-1.635,-0.558,-19.836,-156.921,138.489
-1.838,-1.553,-0.150,-21.790,-181.946,95.642
-1.845,-1.404,0.133,-15.503,-162.842,81.482
-1.776,-1.167,0.395,-0.122,-121.765,79.102
-1.684,-0.862,0.665,13.062,-91.370,76.233
-1.587,-0.522,0.897,18.494,-67.932,65.491
-1.404,-0.256,0.975,21.606,-36.743,45.349
-1.135,-0.127,0.973,12.451,-12.573,19.104
-1.010,-0.021,1.004,-10.315,-18.555,-9.277
-0.911,0.032,1.060,-32.715,-28.503,-37.354
-0.764,0.005,1.073,-37.109,-22.949,-56.702
-0.649,-0.003,1.199,-17.761,-8.179,-58.533
-0.455,0.081,1.325,14.526,16.846,-43.701
-0.175,0.213,1.343,43.518,48.889,-23.132
0.115,0.357,1.383,54.260,67.871,-6.470
0.371,0.467,1.382,42.542,60.425,4.639
0.536,0.582,1.460,15.320,30.701,14.160
0.602,0.718,1.602,0.244,2.747,31.677
0.525,0.856,1.788,10.925,-8.484,68.726
0.265,1.020,1.948,46.387,-4.150,124.023
-0.188,1.201,2.089,91.919,9.766,177.795
-0.752,1.368,2.306,130.859,21.484,206.238
-1.117,1.423,2.392,139.160,33.630,185.425
-1.209,1.273,2.304,97.046,39.185,109.314
-1.051,0.856,2.045,25.208,20.447,0.061
-0.772,0.293,1.778,-35.645,-2.075,-95.520
-0.282,-0.343,1.561,-69.458,-10.559,-151.978
-0.144,-0.763,1.224,-84.351,-18.677,-162.048
0.243,-1.020,0.993,-56.274,8.484,-143.127
0.334,-1.238,0.781,-21.423,33.997,-103.699
0.340,-1.288,0.589,-8.057,37.903,-67.566
0.364,-1.276,0.466,-15.076,35.400,-50.842
0.365,-1.270,0.437,-26.428,20.813,-45.288
0.327,-1.220,0.377,-34.424,3.601,-38.391
0.305,-1.123,0.363,-31.799,-2.441,-26.611
0.299,-0.976,0.452,-12.573,-2.136,-10.498
0.182,-0.813,0.535,9.888,0.061,9.827
0.100,-0.682,0.625,22.583,2.625,27.954
0.014,-0.595,0.690,26.123,2.502,36.072
-0.054,-0.536,0.774,23.437,-2.258,36.438
-0.113,-0.533,0.862,14.404,-11.108,34.424
-0.172,-0.523,0.885,5.920,-13.367,31.677
-0.238,-0.516,0.885,-0.244,-11.414,28.259
-0.262,-0.500,0.882,-4.578,-10.376,23.560
