aX,aY,aZ,gX,gY,gZ
-0.187,-0.632,0.731,15.198,-0.549,-13.123
-0.053,-0.655,0.688,15.564,5.188,-0.427
0.004,-0.671,0.640,5.859,-2.625,3.479
0.007,-0.672,0.594,-12.573,-3.784,3.540
0.058,-0.637,0.687,-36.682,-3.296,2.930
0.065,-0.542,0.862,-54.260,-7.080,1.343
0.053,-0.542,0.903,-52.612,-9.766,1.953
0.125,-0.482,1.094,-38.574,-6.714,-1.038
0.028,-0.489,1.072,-8.423,-8.423,-6.592
-0.014,-0.556,0.868,24.048,-10.193,-6.165
0.077,-0.560,0.922,38.574,-8.850,-2.747
0.056,-0.603,0.794,50.049,-12.207,-3.357
0.064,-0.677,0.681,53.467,-9.827,-5.981
0.045,-0.651,0.711,41.565,-7.385,-10.315
0.016,-0.667,0.732,30.579,-6.470,-10.254
0.035,-0.640,0.777,25.635,-4.578,-9.766
0.019,-0.709,0.727,22.949,-5.554,-10.803
0.029,-0.571,0.772,19.775,-5.188,-14.893
-0.055,-0.611,0.779,13.184,-8.118,-13.123
0.022,-0.581,0.787,10.193,-8.484,-11.658
-0.019,-0.599,0.771,9.155,-6.104,-9.888
-0.017,-0.625,0.737,6.897,-3.540,-9.766
-0.029,-0.648,0.723,0.793,-0.977,-9.094
-0.021,-0.683,0.731,-3.906,2.747,-9.583
-0.037,-0.696,0.736,-8.789,2.869,-11.047
-0.014,-0.656,0.738,-13.489,-1.221,-13.123
0.005,-0.660,0.727,-19.653,-6.653,-13.794
-0.010,-0.651,0.793,-23.682,-8.850,-14.221
-0.017,-0.669,0.785,-21.118,-9.583,-9.155
-0.001,-0.673,0.766,-16.846,-12.024,-3.845
0.022,-0.661,0.760,-15.076,-13.489,-0.305
-0.009,-0.612,0.783,-15.259,-14.893,3.418
0.005,-0.559,0.804,-18.921,-17.334,5.920
-0.012,-0.569,0.797,-23.254,-16.479,5.493
-0.010,-0.582,0.798,-21.790,-11.292,3.601
-0.045,-0.602,0.805,-21.606,-7.568,2.197
-0.016,-0.601,0.812,-23.499,-5.432,2.991
-0.043,-0.572,0.823,-25.146,-3.723,3.906
-0.056,-0.594,0.819,-25.269,-3.967,3.601
-0.032,-0.560,0.819,-27.466,-2.380,1.892
-0.047,-0.555,0.842,-30.334,-3.723,0.183
-0.024,-0.553,0.819,-28.503,-7.568,-0.122
0.016,-0.560,0.819,-29.968,-13.977,0.488
-0.016,-0.558,0.816,-35.950,-26.184,2.502
-0.016,-0.531,0.834,-39.001,-27.832,2.319
0.010,-0.506,0.832,-37.476,-24.292,2.563
-0.028,-0.516,0.799,-37.476,-27.649,4.272
-0.021,-0.501,0.839,-40.466,-31.067,3.540
-0.074,-0.517,0.875,-39.673,-27.405,0.854
-0.050,-0.520,0.866,-41.931,-26.001,-0.793
-0.089,-0.517,0.897,-42.297,-20.203,-3.723
-0.074,-0.498,0.876,-37.231,-11.108,-5.371
-0.129,-0.270,0.952,-35.645,-11.108,-7.019
-0.155,-0.488,0.892,-45.715,-15.259,-13.855
-0.165,-0.633,0.918,-32.288,-10.376,-14.160
-0.089,-0.448,0.857,-28.198,-6.104,-10.437
-0.020,-0.534,0.813,-13.123,-9.949,-4.883
-0.093,-0.561,0.889,-4.944,-22.034,-1.282
-0.081,-0.585,0.877,-3.906,-29.846,2.014
-0.071,-0.586,0.921,-1.587,-36.438,3.235
-0.133,-0.578,0.967,-2.686,-46.082,5.432
-0.114,-0.654,1.114,10.498,-51.270,13.916
-0.117,-0.732,1.440,44.617,-52.368,19.653
-0.176,-0.762,1.584,95.642,-47.913,17.822
-0.305,-0.835,1.704,126.709,-23.926,19.043
-0.143,-1.055,1.697,151.611,16.602,20.569
-0.198,-1.246,1.959,171.448,43.030,21.545
-0.170,-1.424,2.182,169.250,46.265,15.076
-0.097,-1.687,2.404,144.043,40.649,9.338
